lon,lat,M5.0,M5.1,M5.2,M5.3,M5.4,M5.5,M5.6,M5.7,M5.8,M5.9,M6.0,M6.1,M6.2,M6.3,M6.4,M6.5,M6.6,M6.7,M6.8,M6.9,M7.0,M7.1,M7.2,M7.3,M7.4, M7.5, M7.6, M7.7, M7.8, M7.9, M8.0, alpha
166.1500,-45.7500,0.0001484540,0.0001484540,0.0001488270,0.0001492000,0.0001499460,0.0001506920,0.0001514380,0.0001525570,0.0001533030,0.0001536760,0.0001540490,0.0001544220,0.0001544220,0.0001547950,0.0001551680,0.0001570330,0.0001592710,0.0001611360,0.0001622550,0.0001618820,0.0001615090,0.0001618820,0.0001641200,0.0001674770,0.0001697150,0.0001700880,0.0001700880,0.0001700880,0.0001719530,0.0001741910,0.0001760560,0.0000
166.1500,-45.6500,0.0001801590,0.0001801590,0.0001801590,0.0001805320,0.0001809050,0.0001816510,0.0001823970,0.0001831430,0.0001842620,0.0001853810,0.0001872460,0.0001891110,0.0001898570,0.0001891110,0.0001879920,0.0001872460,0.0001879920,0.0001887380,0.0001891110,0.0001894840,0.0001902300,0.0001924680,0.0001961980,0.0002006740,0.0002036580,0.0002047770,0.0002044040,0.0002044040,0.0002058960,0.0002081340,0.0002096260,0.0000
166.1500,-45.5500,0.0002167130,0.0002163400,0.0002163400,0.0002163400,0.0002167130,0.0002170860,0.0002178320,0.0002189510,0.0002204430,0.0002234270,0.0002271570,0.0002308870,0.0002327520,0.0002308870,0.0002275300,0.0002249190,0.0002238000,0.0002238000,0.0002245460,0.0002256650,0.0002275300,0.0002312600,0.0002364820,0.0002424500,0.0002465530,0.0002480450,0.0002476720,0.0002476720,0.0002487910,0.0002510290,0.0002517750,0.0000
166.1500,-45.4500,0.0002569970,0.0002569970,0.0002569970,0.0002569970,0.0002573700,0.0002577430,0.0002581160,0.0002592350,0.0002618460,0.0002655760,0.0002707980,0.0002760200,0.0002786310,0.0002763930,0.0002711710,0.0002670680,0.0002652030,0.0002648300,0.0002659490,0.0002674410,0.0002704250,0.0002756470,0.0002827340,0.0002901940,0.0002954160,0.0002972810,0.0002972810,0.0002969080,0.0002980270,0.0002995190,0.0002995190,0.0000
166.1500,-45.3500,0.0001947060,0.0001950790,0.0001950790,0.0001950790,0.0001954520,0.0001954520,0.0001961980,0.0001973170,0.0001995550,0.0002029120,0.0002081340,0.0002133560,0.0002159670,0.0002137290,0.0002088800,0.0002047770,0.0002029120,0.0002025390,0.0002036580,0.0002055230,0.0002088800,0.0002148480,0.0002226810,0.0002312600,0.0002368550,0.0002390930,0.0002390930,0.0002387200,0.0002394660,0.0002409580,0.0002405850,0.0000
166.2500,-46.4500,0.0000906390,0.0000936230,0.0000936230,0.0000898930,0.0000842980,0.0000790760,0.0000753460,0.0000731080,0.0000712430,0.0000693780,0.0000671400,0.0000641560,0.0000611720,0.0000596800,0.0000600530,0.0000626640,0.0000667670,0.0000708700,0.0000734810,0.0000738540,0.0000723620,0.0000693780,0.0000663940,0.0000641560,0.0000622910,0.0000607990,0.0000593070,0.0000585610,0.0000596800,0.0000626640,0.0000671400,0.0000
166.2500,-46.3500,0.0001003370,0.0001010830,0.0000995910,0.0000962340,0.0000925040,0.0000898930,0.0000884010,0.0000872820,0.0000865360,0.0000850440,0.0000824330,0.0000787030,0.0000749730,0.0000723620,0.0000731080,0.0000764650,0.0000816870,0.0000872820,0.0000902660,0.0000898930,0.0000869090,0.0000824330,0.0000790760,0.0000768380,0.0000753460,0.0000742270,0.0000731080,0.0000731080,0.0000742270,0.0000768380,0.0000813140,0.0000
166.2500,-46.2500,0.0001022020,0.0001014560,0.0000999640,0.0000992180,0.0000984720,0.0000988450,0.0000995910,0.0000999640,0.0001003370,0.0000995910,0.0000977260,0.0000943690,0.0000906390,0.0000884010,0.0000895200,0.0000943690,0.0001010830,0.0001074240,0.0001107810,0.0001100350,0.0001059320,0.0001010830,0.0000973530,0.0000958610,0.0000947420,0.0000939960,0.0000932500,0.0000932500,0.0000943690,0.0000969800,0.0001007100,0.0000
166.2500,-46.1500,0.0001178680,0.0001178680,0.0001186140,0.0001197330,0.0001208520,0.0001208520,0.0001208520,0.0001208520,0.0001212250,0.0001212250,0.0001204790,0.0001186140,0.0001163760,0.0001156300,0.0001178680,0.0001238360,0.0001312960,0.0001376370,0.0001406210,0.0001391290,0.0001342800,0.0001290580,0.0001257010,0.0001238360,0.0001230900,0.0001219710,0.0001212250,0.0001208520,0.0001212250,0.0001234630,0.0001260740,0.0000
166.2500,-46.0500,0.0001525570,0.0001533030,0.0001544220,0.0001559140,0.0001562870,0.0001559140,0.0001551680,0.0001551680,0.0001559140,0.0001566600,0.0001566600,0.0001555410,0.0001547950,0.0001551680,0.0001585250,0.0001641200,0.0001712070,0.0001768020,0.0001790400,0.0001771750,0.0001723260,0.0001674770,0.0001644930,0.0001633740,0.0001626280,0.0001615090,0.0001600170,0.0001592710,0.0001596440,0.0001611360,0.0001626280,0.0000
166.2500,-45.9500,0.0001506920,0.0001514380,0.0001525570,0.0001533030,0.0001540490,0.0001547950,0.0001559140,0.0001574060,0.0001588980,0.0001592710,0.0001588980,0.0001577790,0.0001570330,0.0001574060,0.0001600170,0.0001652390,0.0001708340,0.0001753100,0.0001768020,0.0001753100,0.0001719530,0.0001693420,0.0001682230,0.0001685960,0.0001685960,0.0001682230,0.0001674770,0.0001667310,0.0001674770,0.0001693420,0.0001704610,0.0000
166.2500,-45.8500,0.0001312960,0.0001316690,0.0001324150,0.0001331610,0.0001342800,0.0001357720,0.0001380100,0.0001398750,0.0001409940,0.0001409940,0.0001402480,0.0001395020,0.0001387560,0.0001391290,0.0001409940,0.0001447240,0.0001488270,0.0001521840,0.0001533030,0.0001529300,0.0001514380,0.0001506920,0.0001518110,0.0001540490,0.0001555410,0.0001555410,0.0001551680,0.0001551680,0.0001559140,0.0001577790,0.0001592710,0.0000
166.2500,-45.7500,0.0001480810,0.0001480810,0.0001484540,0.0001492000,0.0001503190,0.0001518110,0.0001536760,0.0001551680,0.0001555410,0.0001555410,0.0001555410,0.0001555410,0.0001551680,0.0001555410,0.0001562870,0.0001581520,0.0001603900,0.0001622550,0.0001633740,0.0001633740,0.0001633740,0.0001641200,0.0001671040,0.0001704610,0.0001726990,0.0001734450,0.0001726990,0.0001726990,0.0001738180,0.0001756830,0.0001768020,0.0000
166.2500,-45.6500,0.0001868730,0.0001868730,0.0001872460,0.0001876190,0.0001883650,0.0001898570,0.0001913490,0.0001924680,0.0001932140,0.0001943330,0.0001954520,0.0001969440,0.0001976900,0.0001969440,0.0001961980,0.0001958250,0.0001961980,0.0001969440,0.0001976900,0.0001980630,0.0001988090,0.0002014200,0.0002055230,0.0002103720,0.0002133560,0.0002141020,0.0002133560,0.0002129830,0.0002144750,0.0002163400,0.0002170860,0.0000
166.2500,-45.5500,0.0002409580,0.0002402120,0.0002402120,0.0002402120,0.0002409580,0.0002417040,0.0002428230,0.0002439420,0.0002458070,0.0002484180,0.0002517750,0.0002555050,0.0002573700,0.0002558780,0.0002525210,0.0002502830,0.0002495370,0.0002495370,0.0002499100,0.0002510290,0.0002532670,0.0002569970,0.0002629650,0.0002693060,0.0002734090,0.0002745280,0.0002741550,0.0002737820,0.0002749010,0.0002763930,0.0002767660,0.0000
166.2500,-45.4500,0.0002633380,0.0002633380,0.0002637110,0.0002637110,0.0002640840,0.0002648300,0.0002655760,0.0002666950,0.0002689330,0.0002726630,0.0002778850,0.0002831070,0.0002857180,0.0002838530,0.0002793770,0.0002756470,0.0002737820,0.0002737820,0.0002745280,0.0002760200,0.0002793770,0.0002849720,0.0002924320,0.0003002650,0.0003058600,0.0003077250,0.0003073520,0.0003069790,0.0003077250,0.0003092170,0.0003088440,0.0000
166.2500,-45.3500,0.0002323790,0.0002327520,0.0002327520,0.0002331250,0.0002331250,0.0002338710,0.0002346170,0.0002357360,0.0002379740,0.0002413310,0.0002461800,0.0002514020,0.0002540130,0.0002528940,0.0002487910,0.0002454340,0.0002435690,0.0002431960,0.0002439420,0.0002461800,0.0002499100,0.0002562510,0.0002652030,0.0002737820,0.0002797500,0.0002819880,0.0002819880,0.0002812420,0.0002823610,0.0002834800,0.0002827340,0.0000
166.2500,-45.2500,0.0002603540,0.0002603540,0.0002603540,0.0002603540,0.0002607270,0.0002614730,0.0002625920,0.0002633380,0.0002648300,0.0002670680,0.0002700520,0.0002734090,0.0002760200,0.0002756470,0.0002737820,0.0002719170,0.0002707980,0.0002700520,0.0002707980,0.0002726630,0.0002763930,0.0002827340,0.0002913130,0.0002995190,0.0003051140,0.0003069790,0.0003066060,0.0003058600,0.0003066060,0.0003077250,0.0003069790,0.0000
166.3500,-46.3500,0.0000719890,0.0000719890,0.0000712430,0.0000701240,0.0000682590,0.0000675130,0.0000667670,0.0000667670,0.0000660210,0.0000649020,0.0000634100,0.0000615450,0.0000593070,0.0000581880,0.0000593070,0.0000626640,0.0000671400,0.0000716160,0.0000738540,0.0000738540,0.0000716160,0.0000686320,0.0000667670,0.0000656480,0.0000645290,0.0000634100,0.0000626640,0.0000622910,0.0000630370,0.0000660210,0.0000701240,0.0000
166.3500,-46.2500,0.0000690050,0.0000693780,0.0000693780,0.0000693780,0.0000697510,0.0000704970,0.0000716160,0.0000723620,0.0000731080,0.0000727350,0.0000719890,0.0000701240,0.0000682590,0.0000675130,0.0000690050,0.0000734810,0.0000790760,0.0000842980,0.0000869090,0.0000861630,0.0000831790,0.0000798220,0.0000775840,0.0000768380,0.0000764650,0.0000760920,0.0000753460,0.0000753460,0.0000768380,0.0000794490,0.0000831790,0.0000
166.3500,-46.1500,0.0000816870,0.0000820600,0.0000824330,0.0000835520,0.0000842980,0.0000850440,0.0000857900,0.0000865360,0.0000872820,0.0000872820,0.0000869090,0.0000854170,0.0000842980,0.0000842980,0.0000865360,0.0000917580,0.0000977260,0.0001029480,0.0001051860,0.0001040670,0.0001003370,0.0000966070,0.0000947420,0.0000943690,0.0000943690,0.0000939960,0.0000932500,0.0000936230,0.0000951150,0.0000973530,0.0001007100,0.0000
166.3500,-46.0500,0.0001025750,0.0001025750,0.0001033210,0.0001040670,0.0001048130,0.0001055590,0.0001063050,0.0001077970,0.0001085430,0.0001092890,0.0001089160,0.0001077970,0.0001070510,0.0001074240,0.0001104080,0.0001152570,0.0001212250,0.0001260740,0.0001279390,0.0001264470,0.0001230900,0.0001197330,0.0001182410,0.0001182410,0.0001186140,0.0001182410,0.0001174950,0.0001174950,0.0001186140,0.0001208520,0.0001230900,0.0000
166.3500,-45.9500,0.0001171220,0.0001174950,0.0001178680,0.0001186140,0.0001197330,0.0001215980,0.0001234630,0.0001257010,0.0001268200,0.0001271930,0.0001260740,0.0001245820,0.0001234630,0.0001234630,0.0001260740,0.0001305500,0.0001353990,0.0001395020,0.0001409940,0.0001398750,0.0001376370,0.0001357720,0.0001357720,0.0001368910,0.0001376370,0.0001376370,0.0001368910,0.0001368910,0.0001376370,0.0001395020,0.0001409940,0.0000
