lon,lat,rate
175.5500,-39.9500,0.0000358884
175.5500,-39.8500,0.0000010601
175.5500,-39.7500,0.0000006696
175.5500,-39.6500,0.0000006696
175.5500,-39.5500,0.0000006696
175.5500,-39.4500,0.0000006696
175.5500,-39.3500,0.0000006696
175.6500,-41.9500,0.0009523613
175.6500,-41.8500,0.0010287020
175.6500,-41.7500,0.0011689054
175.6500,-41.6500,0.0013888883
175.6500,-41.5500,0.0016083761
175.6500,-41.4500,0.0016772800
175.6500,-41.3500,0.0016140493
175.6500,-41.2500,0.0015398091
175.6500,-41.1500,0.0014819080
175.6500,-41.0500,0.0014466293
175.6500,-40.9500,0.0014316499
175.6500,-40.8500,0.0014222919
175.6500,-40.7500,0.0013905782
175.6500,-40.6500,0.0013182478
175.6500,-40.5500,0.0011797261
175.6500,-40.4500,0.0009663576
175.6500,-40.3500,0.0007246234
175.6500,-40.2500,0.0004963892
175.6500,-40.1500,0.0002966900
175.6500,-40.0500,0.0001241763
175.6500,-39.9500,0.0000323621
175.6500,-39.8500,0.0000054323
175.6500,-39.7500,0.0000006696
175.6500,-39.6500,0.0000006696
175.6500,-39.5500,0.0000006696
175.6500,-39.4500,0.0000006696
175.6500,-39.3500,0.0000006696
175.7500,-41.8500,0.0011532181
175.7500,-41.7500,0.0013007980
175.7500,-41.6500,0.0014748859
175.7500,-41.5500,0.0016176581
175.7500,-41.4500,0.0016565248
175.7500,-41.3500,0.0015984123
175.7500,-41.2500,0.0015164148
175.7500,-41.1500,0.0014841426
175.7500,-41.0500,0.0014611416
175.7500,-40.9500,0.0014579594
175.7500,-40.8500,0.0014787806
175.7500,-40.7500,0.0014851477
175.7500,-40.6500,0.0014275106
175.7500,-40.5500,0.0012699428
175.7500,-40.4500,0.0010468946
175.7500,-40.3500,0.0007922929
175.7500,-40.2500,0.0005677077
175.7500,-40.1500,0.0003617778
175.7500,-40.0500,0.0001900669
175.7500,-39.9500,0.0000863070
175.7500,-39.8500,0.0000347504
175.7500,-39.7500,0.0000006696
175.7500,-39.6500,0.0000006696
175.7500,-39.5500,0.0000006696
175.7500,-39.4500,0.0000006696
175.7500,-39.3500,0.0000006696
175.7500,-39.2500,0.0000006696
175.8500,-41.8500,0.0012600350
175.8500,-41.7500,0.0014161513
175.8500,-41.6500,0.0015651118
175.8500,-41.5500,0.0016500136
175.8500,-41.4500,0.0016538171
175.8500,-41.3500,0.0016009380
175.8500,-41.2500,0.0015343149
175.8500,-41.1500,0.0015051900
175.8500,-41.0500,0.0014796512
175.8500,-40.9500,0.0014730873
175.8500,-40.8500,0.0015283698
175.8500,-40.7500,0.0015684962
175.8500,-40.6500,0.0015474987
