lon,lat,rate
175.2500,-41.1500,0.0017467455
175.2500,-41.0500,0.0015640226
175.2500,-40.9500,0.0013760564
175.2500,-40.8500,0.0011850214
175.2500,-40.7500,0.0009956428
175.2500,-40.6500,0.0009502474
175.2500,-40.5500,0.0008940066
175.2500,-40.4500,0.0008033710
175.2500,-40.3500,0.0006216430
175.2500,-40.2500,0.0004355345
175.2500,-40.1500,0.0002681606
175.2500,-40.0500,0.0001510066
175.2500,-39.9500,0.0000706732
175.2500,-39.8500,0.0000143262
175.2500,-39.7500,0.0000007812
175.2500,-39.6500,0.0000007812
175.3500,-42.0500,0.0000324597
175.3500,-41.9500,0.0002574940
175.3500,-41.8500,0.0005794853
175.3500,-41.7500,0.0010120223
175.3500,-41.6500,0.0014752971
175.3500,-41.5500,0.0018155524
175.3500,-41.4500,0.0020116978
175.3500,-41.3500,0.0020522688
175.3500,-41.2500,0.0019422056
175.3500,-41.1500,0.0017888345
175.3500,-41.0500,0.0016420806
175.3500,-40.9500,0.0015020681
175.3500,-40.8500,0.0013585277
175.3500,-40.7500,0.0012270778
175.3500,-40.6500,0.0011336888
175.3500,-40.5500,0.0010334605
175.3500,-40.4500,0.0008819471
175.3500,-40.3500,0.0006766988
175.3500,-40.2500,0.0004627732
175.3500,-40.1500,0.0002835978
175.3500,-40.0500,0.0001512708
175.3500,-39.9500,0.0000588883
175.3500,-39.8500,0.0000033871
175.3500,-39.7500,0.0000007812
175.3500,-39.6500,0.0000007812
175.3500,-39.5500,0.0000007812
175.4500,-41.9500,0.0001553173
175.4500,-41.8500,0.0004023015
175.4500,-41.7500,0.0007814586
175.4500,-41.6500,0.0012993375
175.4500,-41.5500,0.0017480619
175.4500,-41.4500,0.0020024358
175.4500,-41.3500,0.0020508278
175.4500,-41.2500,0.0019573388
175.4500,-41.1500,0.0017990845
175.4500,-41.0500,0.0017092094
175.4500,-40.9500,0.0016285511
175.4500,-40.8500,0.0015385833
175.4500,-40.7500,0.0014367867
175.4500,-40.6500,0.0013370345
175.4500,-40.5500,0.0012055268
175.4500,-40.4500,0.0009937671
175.4500,-40.3500,0.0007386085
175.4500,-40.2500,0.0004803485
175.4500,-40.1500,0.0002913487
175.4500,-40.0500,0.0001496045
175.4500,-39.9500,0.0000516820
175.4500,-39.8500,0.0000005011
175.4500,-39.7500,0.0000007812
175.4500,-39.6500,0.0000007812
175.4500,-39.5500,0.0000007812
175.4500,-39.4500,0.0000007812
175.5500,-41.9500,0.0000607346
175.5500,-41.8500,0.0002282647
175.5500,-41.7500,0.0005112492
175.5500,-41.6500,0.0011900067
175.5500,-41.5500,0.0017671049
175.5500,-41.4500,0.0020576927
175.5500,-41.3500,0.0020717650
175.5500,-41.2500,0.0019816755
175.5500,-41.1500,0.0018638911
175.5500,-41.0500,0.0017880506
175.5500,-40.9500,0.0017404166
175.5500,-40.8500,0.0016975433
175.5500,-40.7500,0.0016121331
175.5500,-40.6500,0.0015191322
175.5500,-40.5500,0.0013930064
175.5500,-40.4500,0.0011131102
175.5500,-40.3500,0.0008193457
175.5500,-40.2500,0.0005377590
175.5500,-40.1500,0.0003180438
175.5500,-40.0500,0.0001488498
175.5500,-39.9500,0.0000436638
